
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000248                       # Number of seconds simulated (Second)
simTicks                                    247614500                       # Number of ticks simulated (Tick)
finalTick                                   247614500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.41                       # Real time elapsed on the host (Second)
hostTickRate                                603940203                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     627288                       # Number of bytes of host memory used (Byte)
simInsts                                        27124                       # Number of instructions simulated (Count)
simOps                                          27124                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    66025                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      65995                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           495230                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              18.258000                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.054771                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           30163                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       28                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          35579                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    105                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 3066                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              1726                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              170746                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.208374                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.778068                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    153935     90.15%     90.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      8287      4.85%     95.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      3502      2.05%     97.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      2042      1.20%     98.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      1553      0.91%     99.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       898      0.53%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       267      0.16%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       238      0.14%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        24      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                170746                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      32      3.70%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      3.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      3.70% # attempts to use FU when none available (Count)
