
---------- Begin Simulation Statistics ----------
simSeconds                                   0.013205                       # Number of seconds simulated (Second)
simTicks                                  13205342500                       # Number of ticks simulated (Tick)
finalTick                                 13205342500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     15.26                       # Real time elapsed on the host (Second)
hostTickRate                                865455635                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     627288                       # Number of bytes of host memory used (Byte)
simInsts                                      1737873                       # Number of instructions simulated (Count)
simOps                                        1737873                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   113895                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     113895                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         26410686                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              15.197132                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.065802                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1788292                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1012                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2118934                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     96                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                51430                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             34135                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9505298                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.222921                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.793394                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   8464838     89.05%     89.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    554631      5.83%     94.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    210549      2.22%     97.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     85916      0.90%     98.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    100198      1.05%     99.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     62382      0.66%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     15742      0.17%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     10033      0.11%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1009      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9505298                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       4      0.01%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.01% # attempts to use FU when none available (Count)
